id,idiom,missing,order
140,吊死问疾,3,O
141,丁公凿井,1,B
142,鼎鼎大名,2,I
143,鼎足而三,1,N
144,鼎足而三,1,G
145,钉嘴铁舌,3,O
146,动魄惊心,3,B
147,动辄得咎,3,I
148,斗筲之器,4,N
149,斗转参横,2,G
150,毒手尊前,2,O
151,睹物思人,1,B
152,端倪可察,3,I
153,短兵相接,4,N
154,短小精悍,3,G
155,对薄公堂,2,O
156,对酒当歌,3,B
157,多才多艺,2,I
158,多藏厚亡,3,N
159,多愁善感,1,G
160,恶贯满盈,3,O
161,恶醉强酒,3,B
162,儿女情长,3,I
163,耳鬓斯磨,3,N
164,耳聪目明,4,G
165,二心两意,3,O
166,二姓之好,4,B
167,发愤图强,2,I
168,发号施令,4,N
169,发指眦裂,3,G
170,罚不当罪,3,O
171,反经行权,2,B
172,反裘负刍,1,I
173,返老还童,4,N
174,飞蛾赴火,1,G
175,飞蛾投火,4,O
176,飞蓬随风,1,B
177,飞沿走壁,4,I
178,飞鹰走狗,4,N
179,飞灾横祸,4,G
180,非池中物,3,O
181,非驴非马,4,B
182,非亲非故,2,I
183,非同小可,3,N
184,肥马轻裘,2,G
185,吠形吠声,2,O
186,沸反盈天,4,B
187,沸沸扬扬,4,I
188,费尽心机,4,N
189,分寸之末,3,G
190,分斤掰两,1,O
191,分秒必争,2,B
192,分文不取,1,I
193,分香卖履,1,N
194,焚琴煮鹤,1,G
195,粉白黛黑,3,O
196,丰亨豫大,1,B
197,丰衣足食,2,I
198,风花雪夜,2,N
199,风卷残云,4,G
200,风流倜傥,3,O
201,风流罪过,4,B
202,风流罪过,3,I
203,风情月债,2,N
204,风雨交加,1,G
205,风雨同舟,3,O
206,风中之烛,4,B
207,锋芒所向,3,I
208,逢人说项,1,N
209,夫唱妇随,3,G
210,伏低做小,4,O
211,伏地圣人,1,B
212,凫趋雀跃,4,I
213,扶危济困,1,N
214,服低做小,2,G
215,福无双至,2,O
216,俯仰由人,2,B
217,负荆请罪,1,I
218,腹背之毛,1,N
219,覆车之鉴,4,G
220,盖世无双,1,O
221,甘棠遗爱,4,B
222,肝肠寸断,3,I
223,竿头直上,3,N
224,感慨万千,3,G
225,干城之将,4,O
226,干卿底事,3,B
227,高朋满座,1,I
228,高义薄云,1,N
229,高义薄云,1,G
230,膏唇试舌,4,O
231,告朔饩羊,2,B
232,格格不入,4,I
233,隔年皇历,1,N
234,隔世之感,4,G
235,更仆难数,1,O
236,弓折刀尽,3,B
237,公诸同好,1,I
238,公子王孙,2,N
239,功成不居,1,G
240,功德无量,4,O
241,功德圆满,3,B
242,攻苦食淡,2,I
243,攻其无备,4,N
244,狗头军师,3,G
245,狗血喷头,4,O
246,狗眼看人,2,B
247,狗仗人势,3,I
248,沽名钓誉,2,N
249,孤独矜寡,2,G
250,古调单弹,4,O
251,故入人罪,4,B
252,故作高深,4,I
253,顾盼自雄,3,N
254,顾全大局,4,G
255,瓜剖豆分,2,O
256,瓜熟蒂落,4,B
257,挂一漏万,1,I
258,关门大吉,3,N
259,观眉说眼,1,G
260,光前绝后,2,O
261,光前绝后,2,B
262,光前裕后,2,I
263,光阴似箭,4,N
264,广土众民,2,G
265,归马放牛,4,O
266,归真反璞,3,B
267,鬼使神差,4,I
268,贵而贱目,3,N
269,国色天香,4,G
270,国士无双,3,O
271,过街老鼠,1,B
272,过目不忘,2,I
273,海枯石烂,3,N
274,海阔天空,2,G
275,海水群飞,1,O
276,海外奇谈,3,B
277,寒木春华,2,I
278,悍然不顾,4,N
279,行不胜衣,4,G
280,行动坐卧,4,O
281,行若无事,2,B
282,好高骛远,1,I
283,好肉剜疮,2,N
284,好为人师,3,G
285,喝西北风,1,O
286,和而不唱,3,B
287,和而不同,3,I
288,和盘托出,3,N
289,河落海干,1,G
290,河山带砺,3,O
291,鹤立鸡群,3,B
292,黑白分明,4,I
293,黑灯瞎火,2,N
294,黑更半夜,1,G
295,恨之入骨,2,O
296,后发制人,1,B
297,后顾之忧,4,I
298,后患无穷,2,N
299,后继无人,3,G
300,后来居上,4,O
301,后生可畏,3,B
302,呼风唤雨,4,I
303,虎背熊腰,4,N
304,虎狼之势,1,G
305,户枢不蠹,3,O
306,花好月圆,3,B
307,花说柳说,1,I
308,花言巧语,3,N
309,花颜月貌,2,G
310,花样翻新,1,O
311,花遮柳隐,2,B
312,华而不实,1,I
313,化零为整,1,N
314,化为乌有,2,G
315,画虎类狗,1,O
316,画中有诗,2,B
317,怀璧其罪,4,I
318,患难与共,2,N
319,患难之交,1,G
320,皇天后土,4,O
321,黄道吉日,3,B
322,黄袍加身,3,I
323,黄雀伺蝉,2,N
324,灰飞烟灭,3,G
325,灰头土面,2,O
326,挥洒自如,4,B
327,回天之力,2,I
328,回味无穷,2,N
329,讳莫如深,4,G
330,惠而不费,3,O
331,昏天黑地,4,B
332,魂不附体,1,I
333,火光烛天,2,N
334,火海刀山,4,G
335,火伞高张,3,O
336,火上浇油,1,B
337,火上弄冰,3,I
338,火烧火燎,3,N
339,祸从天降,2,G
340,祸福相依,3,O
341,祸福相依,4,B
342,祸国殃民,3,I
343,机杼一家,2,N
344,鸡口牛后,3,G
345,鸡犬不宁,4,O
346,吉祥止止,3,B
347,极天际地,2,I
348,急流勇退,4,N
349,疾风迅雷,2,G
350,疾足先得,2,O
351,集苑集枯,1,B
352,戟指怒目,2,I
353,计无所出,3,N
354,济困扶危,2,G
355,继往开来,3,O
356,寄人篱下,2,B
357,骥子龙文,3,I
358,加人一等,1,N
359,家常便饭,2,G
360,价增一顾,4,O
361,价值连城,4,B
362,嫁祸于人,1,I
363,艰苦卓绝,2,N
364,见多识广,2,G
365,见猎心喜,3,O
366,见仁见智,2,B
367,见兔放鹰,4,I
368,见兔顾犬,3,N
369,见笑大方,3,G
370,剑拔弩张,2,O
371,剑戟森森,1,B
372,鉴往知来,2,I
373,将伯之呼,2,N
374,将伯之助,2,G
375,将计就计,4,O
376,将信将疑,1,B
377,匠心独运,2,I
378,交淡若水,1,N
379,交浅言深,3,G
380,交头接耳,2,O
381,脚踏实地,3,B
382,叫苦连天,2,I
383,教学相长,3,N
384,教一识百,3,G
385,接二连三,3,O
386,接三连四,1,B
387,街头巷尾,4,I
388,节衣缩食,2,N
389,劫富济贫,3,G
390,洁身自好,3,O
391,结党营私,4,B
392,结驷连骑,3,I
393,竭泽而渔,2,N
394,解衣推食,2,G
395,今愁古恨,3,O
396,金城汤池,2,B
397,金刚怒目,1,I
398,金舌蔽口,3,N
399,金屋藏娇,1,G
400,金枝玉叶,1,O
401,锦心绣口,4,B
402,锦绣前程,1,I
403,谨毛失貌,4,N
404,尽力而为,2,G
405,尽人皆知,1,O
406,尽态极妍,3,B
407,尽忠报国,2,I
408,进退两难,3,N
409,进退失据,2,G
410,经久不息,3,O
411,经年累月,1,B
412,经纬万端,2,I
413,惊弓之鸟,2,N
414,惊惶失措,3,G
415,惊涛骇浪,4,O
416,惊心悼胆,4,B
417,井井有条,2,I
418,井蛙之见,1,N
419,径情直行,1,G
420,镜花水月,1,O
421,九九归一,4,B
422,久悬不决,1,I
423,酒入舌出,3,N
424,旧地重游,2,G
425,旧地重游,2,O
426,旧调重弹,4,B
427,咎由自取,2,I
428,居官守法,4,N
429,举一反三,2,G
430,拒谏饰非,4,O
431,据理力争,2,B
432,据为己有,3,I
433,聚蚊成雷,1,N
434,卷土重来,2,G
435,决一雌雄,1,O
436,决一死战,4,B
437,绝少分甘,3,I
438,绝无仅有,2,N
439,开诚布公,4,G
440,开路先锋,1,O
441,开山祖师,1,B
442,开宗明义,3,I
443,科班出身,3,N
444,可心如意,3,G
445,空谷传声,3,O
446,空前绝后,4,B
447,空室清野,4,I
448,空穴来风,2,N
449,孔席墨突,2,G
450,口沸目赤,4,O
451,口讲指画,3,B
452,口蜜腹剑,4,I
453,哭天抹泪,1,N
454,苦大仇深,4,G
455,苦中作乐,4,O
456,快步流星,1,B
457,困兽犹斗,3,I
458,困知勉行,1,N
459,来日大难,1,G
460,来者不拒,3,O
461,来者不善,4,B
462,来者可追,1,I
463,蓝田生玉,4,N
464,滥用职权,3,G
465,狼心狗肺,3,O
466,浪子回头,1,B
467,劳师动众,2,I
468,牢不可破,3,N
469,老气横秋,3,G
470,老羞成怒,2,O
471,乐极生悲,1,B
472,雷厉风行,1,I
473,泪干肠断,2,N
474,累瓦结绳,4,G
475,冷暖自知,1,O
476,离群索居,2,B
477,离心离德,2,I
478,礼贤下士,3,N
479,里出外进,4,G
480,理屈词穷,1,O
481,力不从心,3,B
482,力不胜任,4,I
483,力透纸背,4,N
484,历历可数,4,G
485,厉兵秣马,3,O
486,立此存照,1,B
487,利令智昏,2,I
488,利欲熏心,2,N
489,例行公事,3,G
490,例直禁简,4,O
491,砺山带河,2,B
492,怜香惜玉,2,I
493,良工心苦,4,N
494,量才录用,2,G
495,聊以自慰,1,O
496,燎原烈火,4,B
497,料事如神,3,I
498,裂土分茅,3,N
499,麟趾呈祥,2,G
500,灵丹圣药,1,O
501,灵机一动,4,B
502,零打碎敲,3,I
503,零敲碎打,1,N
504,流离转徙,2,G
505,流星赶月,3,O
506,六尺之孤,4,B
507,六马仰秣,2,I
508,龙飞凤舞,4,N
509,龙马精神,4,G
510,龙蛇飞动,3,O
511,龙争虎斗,2,B
512,路不拾遗,2,I
513,路柳墙花,4,N
514,鸾翔凤集,4,G
515,卵与石斗,2,O
516,乱琼碎玉,4,B
517,乱头粗服,3,I
518,落井下石,4,N
519,落落大方,3,G
520,驴鸣犬吠,1,O
521,略见一斑,3,B
522,麻木不仁,1,I
523,马革裹尸,4,N
524,马鹿异形,3,G
525,马瘦毛长,3,O
526,马仰人翻,4,B
527,麦穗两歧,2,I
528,脉脉含情,1,N
529,满腹狐疑,3,G
530,满面春风,2,O
531,芒刺在背,3,B
532,盲人摸象,1,I
533,毛羽零落,3,N
534,貌合神离,1,G
535,没精打采,4,O
536,眉高眼低,4,B
537,眉目如画,3,I
538,美女簪花,3,N
539,美人迟暮,2,G
540,美意延年,1,O
541,门当户对,2,B
542,门到户说,2,I
543,梦寐以求,3,N
544,靡靡之音,4,G
545,免开尊口,1,O
546,面红耳赤,4,B
547,妙手空空,2,I
548,灭绝人性,2,N
549,民胞物与,3,G
550,民富国强,2,O
551,民富国强,4,B
552,民脂民膏,3,I
553,名垂后世,1,N
554,名存实亡,4,G
555,明白了当,2,O
556,明镜高悬,1,B
557,明刑不戮,2,I
558,明争暗斗,4,N
559,抹月秕风,1,G
560,末学肤受,1,O
561,秣马厉兵,2,B
562,墨子泣丝,4,I
563,木本水源,2,N
564,木人石心,1,G
565,目不识丁,3,O
566,目不暇接,3,B
567,目瞪口呆,2,I
568,目光如豆,2,N
569,目光如鼠,2,G
570,目空一切,3,O
571,目送手挥,2,B
572,目无全牛,3,I
573,目无余子,3,N
574,暮云春树,4,G
575,难分难解,4,O
576,难言之隐,3,B
577,难以为继,2,I
578,难以置信,3,N
579,囊空如洗,1,G
580,恼羞成怒,4,O
581,脑满肠肥,1,B
582,能工巧匠,1,I
583,年富力强,4,N
584,年高望重,1,G
585,念念不忘,1,O
586,鸟语花香,1,B
587,牛刀割鸡,3,I
588,牛鼎烹鸡,1,N
589,奴颜婢膝,4,G
590,怒发冲冠,1,O
591,怒目而视,1,B
592,诺诺连声,1,I
593,呕心沥血,2,N
594,盘马弯弓,1,G
595,炮凤烹龙,2,O
596,蓬户瓮牖,3,B
597,皮里春秋,3,I
598,皮里阳秋,4,N
599,皮相之见,4,G
600,平白无故,1,O
601,破颜微笑,1,B
602,璞玉浑金,2,I
603,妻儿老小,3,N
604,奇珍异宝,1,G
605,骑驴觅驴,1,O
606,起死回生,3,B
607,气冲牛斗,1,I
608,气味相投,4,N
609,气象万千,3,G
610,气焰熏天,3,O
611,气涌如山,1,B
612,弃瑕录用,4,I
613,泣下如雨,1,N
614,器宇轩昂,4,G
615,前车之鉴,3,O
616,前所未闻,1,B
617,前挽后推,4,I
618,前因后果,1,N
619,钱可通神,2,G
620,枪林弹雨,1,O
621,强聒不舍,1,B
622,强人所难,1,I
623,强作解人,3,N
624,敲冰求火,4,G
625,乔龙画虎,3,O
626,巧不可接,2,B
627,巧取豪夺,4,I
628,亲密无间,4,N
629,青黄不接,1,G
630,青黄不接,4,O
631,轻而易举,1,B
632,清尘浊水,3,I
633,清净无为,3,N
634,清汤寡水,2,G
635,清心寡欲,2,O
636,清夜扪心,3,B
637,情急智生,1,I
638,情见势屈,2,N
639,情同骨肉,1,G
640,情至意尽,3,O
641,穷极无聊,1,B
642,穷极无聊,1,I
643,穷奢极欲,2,N
644,秋风过耳,1,G
645,秋色平分,4,O
646,秋水伊人,4,B
647,求全之毁,1,I
648,求神问卜,2,N
649,求同存异,1,G
650,屈指可数,1,O
651,曲高和寡,3,B
652,曲终奏雅,2,I
653,取巧图便,3,N
654,去粗取精,3,G
655,去伪存真,3,O
656,权衡轻重,2,B
657,权宜之计,1,I
658,全军覆灭,3,N
659,全力以赴,1,G
660,全受全归,1,O
661,全无心肝,3,B
662,犬马之劳,3,I
663,燃眉之急,2,N
664,热火朝天,4,G
665,人存政举,4,O
666,人多势众,1,B
667,人尽其才,2,I
668,人面兽心,2,N
669,人命关天,2,G
670,人情冷暖,1,O
671,人生如寄,1,B
672,人寿年丰,3,I
673,人亡物在,3,N
674,人微权轻,2,G
675,人微言轻,4,O
676,人心不古,1,B
677,人心归向,3,I
678,人心所向,2,N
679,人言可畏,2,G
680,人一己百,4,O
681,人一己百,2,B
682,人云亦云,3,I
683,人众胜天,4,N
684,仁浆义粟,1,G
685,刃迎缕解,4,O
686,任人唯亲,3,B
687,任重道远,1,I
688,日暮途穷,4,N
689,日升月恒,3,G
690,日下无双,1,O
691,日以继夜,2,B
692,容光焕发,3,I
693,柔茹刚吐,1,N
694,肉薄骨并,4,G
695,肉跳心惊,4,O
696,肉眼惠眉,1,B
697,如日中天,3,I
698,如应斯响,1,N
699,如左右手,1,G
700,入木三分,3,O
701,软红香土,2,B
702,锐不可当,2,I
703,若即若离,4,N
704,若明若暗,1,G
705,三命而俯,3,O
706,三生有幸,2,B
707,三生有幸,2,I
708,三牲五鼎,2,N
709,散兵游勇,2,G
710,色若死灰,3,O
711,色色俱全,4,B
712,色授魂与,4,I
713,沙里淘金,3,N
714,山崩钟应,4,G
715,山栖谷隐,2,O
716,扇枕温被,1,B
717,善贾而沽,3,I
718,善善恶恶,1,N
719,伤弓之鸟,3,G
720,伤心惨目,1,O
721,赏罚分明,1,B
722,赏心悦目,3,I
723,赏一劝百,3,N
724,上好下甚,4,G
725,上援下推,2,O
726,少不经事,2,B
727,舍己从人,2,I
728,舍己救人,3,N
729,舍己为人,1,G
730,设身处地,2,O
731,身不由主,1,B
732,身强力壮,1,I
733,身体力行,2,N
734,身外之物,3,G
735,身心交病,2,O
736,深藏若虚,4,B
737,深恶痛绝,1,I
738,深入人心,1,N
739,深入人心,3,G
740,神差鬼使,3,O
741,神出鬼没,4,B
742,神魂颠倒,2,I
743,神通广大,1,N
744,神通广大,1,G
745,甚嚣尘上,1,O
746,生不逢时,1,B
747,生栋覆屋,3,I
748,生关死劫,4,N
749,生拉硬扯,2,G
750,生老病死,1,O
751,生死存亡,2,B
752,生死相依,1,I
753,声嘶力竭,4,N
754,声威大震,3,G
755,声应气求,4,O
756,声振林木,1,B
757,声罪致讨,1,I
758,绳锯木断,2,N
759,胜任愉快,1,G
760,失惊打怪,3,O
761,失张失智,1,B
762,师出有名,4,I
763,师老兵破,4,N
764,十围五攻,3,G
765,石沉大海,3,O
766,时和年丰,1,B
767,识途老马,3,I
768,识文断字,2,N
769,实逼处此,4,G
770,实获我心,2,O
771,实事求是,3,B
772,实与有力,3,I
773,食不果腹,3,N
774,食而不化,1,G
775,食日万钱,1,O
776,食言而肥,2,B
777,使羊将狼,4,I
778,始终如一,1,N
779,士饱马腾,4,G
780,世风日下,1,O
781,世外桃源,4,B
782,市井之徒,1,I
783,势不两立,4,N
784,势成骑虎,2,G
785,势倾天下,2,O
786,事必躬亲,2,B
787,事不师古,2,I
788,事出有因,2,N
789,事以密成,3,G
790,事与愿违,1,O
791,事预则立,2,B
792,视而不见,3,I
793,视同路人,2,N
794,誓死不二,4,G
795,手不释卷,2,O
796,手到病除,3,B
797,首屈一指,2,I
798,首善之区,2,N
799,蜀犬吠日,3,G
800,鼠腹鸡肠,3,O
801,鼠目寸光,1,B
802,鼠窃狗盗,4,I
803,鼠窃狗偷,3,N
804,鼠窃狗偷,1,G
805,数黑论黄,4,O
806,双管齐下,3,B
807,霜露之病,1,I
808,爽然若失,4,N
809,水火无情,3,G
810,水尽鹅飞,1,O
811,水陆杂陈,4,B
812,水米无交,3,I
813,水乳交融,3,N
814,水泄不通,1,G
815,水涨船高,4,O
816,说黑道白,2,B
817,说长道短,3,I
818,丝恩发怨,2,N
819,私心杂念,4,G
820,思潮起伏,3,O
821,死不悔改,1,B
822,死不瞑目,3,I
823,死灰复燃,4,N
824,死气沉沉,4,G
825,四面楚歌,2,O
826,四平八稳,4,B
827,俟河之清,1,I
828,素丝羔羊,2,N
829,速战速决,1,G
830,粟红贯朽,1,O
831,随才器使,3,B
832,随俗浮沉,4,I
833,孙康映雪,4,N
834,贪污腐化,3,G
835,谈笑封侯,2,O
836,谈笑自若,2,B
837,饕餮之徒,3,I
838,腾蛟起凤,3,N
839,梯山航海,4,G
840,体无完肤,1,O
841,天保九如,2,B
842,天翻地覆,2,I
843,天高地厚,1,N
844,天高听卑,4,G
845,天罗地网,2,O
846,天怒人怨,4,B
847,天下太平,3,I
848,天悬地隔,3,N
849,天渊之别,2,G
850,天灾人祸,4,O
851,天长日久,3,B
852,天真烂漫,2,I
853,田月桑时,1,N
854,条三窝四,3,G
855,调嘴学舌,4,O
856,听而不闻,3,B
857,通今博古,1,I
858,通力合作,4,N
859,通权达变,2,G
860,通宵达旦,3,O
861,同工异曲,2,B
862,童牛角马,2,I
863,痛心疾首,2,N
864,偷工减料,4,G
865,头没杯案,2,O
866,头童齿豁,3,B
867,投畀豺虎,3,I
868,投机取巧,1,N
869,突然袭击,1,G
870,图穷匕见,1,O
871,徒劳无功,2,B
872,徒托空言,4,I
873,土阶茅屋,2,N
874,土龙刍狗,1,G
875,吐刚茹柔,2,O
876,兔丝燕麦,2,B
877,推己及人,2,I
878,推己及人,2,N
879,退如山移,4,G
880,唾手可得,1,O
881,瓦釜雷鸣,4,B
882,外合里差,3,I
883,外强中干,3,N
884,外圆内方,3,G
885,完事大吉,2,O
886,万古长青,4,B
887,万象森罗,3,I
888,亡魂丧胆,1,N
889,网开三面,1,G
890,网开一面,3,O
891,往返徒劳,1,B
892,忘其所以,1,I
893,望子成龙,2,N
894,危如累卵,4,G
895,危言危行,4,O
896,为富不仁,2,B
897,为渊驱鱼,1,I
898,违心之论,1,N
899,尾大不掉,4,G
900,尾生之信,3,O
901,委曲求全,1,B
902,畏缩不前,2,I
903,蔚然成风,1,N
904,慰情胜无,4,G
905,文不加点,4,O
906,文质彬彬,1,B
907,闻风丧胆,3,I
908,闻过则喜,2,N
909,闻鸡起舞,1,G
910,闻一知十,3,O
911,闻一知十,3,B
912,稳扎稳打,3,I
913,乌焉成马,4,N
914,污泥浊水,3,G
915,屋如七星,1,O
916,无拳无勇,1,B
917,无拳无勇,4,I
918,物腐虫生,1,N
919,物是人非,1,G
920,雾里看花,2,O
921,息事宁人,3,B
922,惜墨如金,3,I
923,膝痒搔背,4,N
924,习焉不察,3,G
925,席地而坐,1,O
926,喜从天降,2,B
927,喜怒哀乐,3,I
928,细枝末节,1,N
929,瑕瑜互见,1,G
930,下不为例,2,O
931,下里巴人,1,B
932,下马看花,3,I
933,先意承志,4,N
934,纤芥之疾,1,G
935,鲜车怒马,4,O
936,闲云野鹤,1,B
937,弦外之音,3,I
938,相机而动,2,N
939,相惊伯有,2,G
940,香火因缘,4,O
941,祥麟威凤,3,B
942,响彻云霄,4,I
943,想入非非,2,N
944,项背相望,3,G
945,象箸玉杯,2,O
946,小本经营,4,B
947,小廉曲谨,2,I
948,笑里藏刀,3,N
949,谢天谢地,2,G
950,心安理得,1,O
951,心到神知,1,B
952,心高气傲,1,I
953,心灰意冷,1,N
954,心急如焚,2,G
955,心口如一,4,O
956,心乱如麻,2,B
957,心平气和,2,I
958,心如死灰,1,N
959,心手相应,4,G
960,心术不正,1,O
961,心心念念,3,B
962,心心相印,2,I
963,心织笔耕,3,N
964,信及豚鱼,2,G
965,信赏必罚,3,O
966,星旗电戟,3,B
967,星移斗转,1,I
968,形单影只,1,N
969,形枉影曲,2,G
970,幸灾乐祸,1,O
971,宿弊一清,3,B
972,秀才人情,4,I
973,秀而不实,3,N
974,绣花枕头,2,G
975,虚位以待,4,O
976,虚有其表,2,B
977,虚舟飘瓦,4,I
978,学而不厌,1,N
979,雪窑冰天,1,G
980,血气方刚,3,O
981,鸦雀无闻,2,B
982,言必有中,4,I
983,言行不一,3,N
984,言之凿凿,2,G
985,言重九鼎,1,O
986,妍姿艳质,3,B
987,颜面扫地,2,I
988,眼馋肚饱,1,N
989,眼高手低,3,G
990,偃武修文,4,O
991,厌难折冲,2,B
992,殃及池鱼,2,I
993,扬眉吐气,2,N
994,扬汤止沸,3,G
995,扬长而去,4,O
996,羊肠小道,2,B
997,羊质虎皮,1,I
998,仰人鼻息,1,N
999,仰首伸眉,4,G
1000,养精畜锐,2,O
1001,养痈成患,3,B
1002,腰缠万贯,1,I
1003,药笼中物,2,N
1004,药石之言,4,G
1005,要价还价,4,O
1006,夜不闭户,1,B
1007,夜郎自大,1,I
1008,夜郎自大,4,N
1009,夜以继日,2,G
1010,夜雨对床,3,O
1011,夜长梦多,1,B
1012,一笔抹杀,2,I
1013,一举两得,4,N
1014,一蹶不振,2,G
1015,一丝不挂,2,O
1016,一丝不挂,4,B
1017,一塌糊涂,1,I
1018,一往无前,4,N
1019,一五一十,3,G
1020,一星半点,3,O
1021,衣架饭囊,3,B
1022,依然故我,3,I
1023,依依不舍,4,N
1024,仪静体闲,1,G
1025,怡然自得,1,O
1026,移山倒海,2,B
1027,移天易日,3,I
1028,移樽就教,1,N
1029,遗臭万年,1,G
1030,遗大投艰,2,O
1031,疑信参半,1,B
1032,以指挠沸,3,I
1033,义薄云天,4,N
1034,义无反顾,4,G
1035,异端邪说,4,O
1036,异名同实,1,B
1037,意马心猿,3,I
1038,意气风发,4,N
1039,意气用事,1,G
1040,意在笔先,2,O
1041,意在言外,3,B
1042,因循守旧,2,I
1043,音容笑貌,4,N
1044,淫词艳曲,1,G
1045,隐恶扬善,4,O
1046,印累绶若,2,B
1047,迎头赶上,4,I
1048,盈盈一水,2,N
1049,应付裕如,3,G
1050,应付自如,1,O
1051,应运而生,4,B
1052,勇往直前,2,I
1053,用兵如神,4,N
1054,用舍行藏,3,G
1055,忧患余生,1,O
1056,油腔滑调,2,B
1057,游刃有余,3,I
1058,游山玩水,1,N
1059,有何面目,1,G
1060,有名无实,3,O
1061,有目共睹,3,B
1062,有求必应,1,I
1063,有一得一,2,N
1064,有枝添叶,3,G
1065,牖中窥日,1,O
1066,余波未平,4,B
1067,鱼贯而入,4,I
1068,鱼烂而亡,3,N
1069,鱼龙混杂,1,G
1070,鱼游釜中,2,O
1071,愚昧无知,1,B
1072,与民更始,3,I
1073,与世偃仰,3,N
1074,予取予求,1,G
1075,羽毛未丰,2,O
1076,雨过天青,1,B
1077,雨沐风餐,4,I
1078,雨丝风片,3,N
1079,玉洁冰清,4,G
1080,玉碎珠沉,1,O
1081,玉液琼浆,4,B
1082,玉卮无当,3,I
1083,狱货非宝,3,N
1084,原原本本,2,G
1085,圆颅方趾,3,O
1086,源源不断,3,B
1087,源源不绝,3,I
1088,远交近攻,4,N
1089,怨天尤人,3,G
1090,约定俗成,3,O
1091,月白风清,1,B
1092,月旦春秋,1,I
1093,月露风云,4,N
1094,月下花前,1,G
1095,月下老人,3,O
1096,月盈则食,2,B
1097,月晕而风,1,I
1098,跃然纸上,3,N
1099,云过天空,2,G
1100,云过天空,3,O
1101,云泥之别,2,B
1102,云泥之别,2,I
1103,云消雨散,3,N
1104,云兴霞蔚,4,G
1105,云蒸霞蔚,2,O
1106,杂七杂八,4,B
1107,在家出家,4,I
1108,在所难免,4,N
