id,idiom,missing,order
140,鼎足而三,1,O
141,钉嘴铁舌,3,B
142,动魄惊心,3,I
143,动辄得咎,3,N
144,斗筲之器,4,G
145,斗转参横,2,O
146,毒手尊前,2,B
147,睹物思人,1,I
148,端倪可察,3,N
149,短兵相接,4,G
150,短小精悍,3,O
151,对薄公堂,2,B
152,对酒当歌,3,I
153,多才多艺,2,N
154,多藏厚亡,3,G
155,多愁善感,1,O
156,恶贯满盈,3,B
157,恶醉强酒,3,I
158,儿女情长,3,N
159,耳鬓斯磨,3,G
160,耳聪目明,4,O
161,二心两意,3,B
162,二姓之好,4,I
163,发愤图强,2,N
164,发号施令,4,G
165,发指眦裂,3,O
166,罚不当罪,3,B
167,反经行权,2,I
168,反裘负刍,1,N
169,返老还童,4,G
170,飞蛾赴火,1,O
171,飞蛾投火,4,B
172,飞蓬随风,1,I
173,飞沿走壁,4,N
174,飞鹰走狗,4,G
175,飞灾横祸,4,O
176,非池中物,3,B
177,非驴非马,4,I
178,非亲非故,2,N
179,非同小可,3,G
180,肥马轻裘,2,O
181,吠形吠声,2,B
182,沸反盈天,4,I
183,沸沸扬扬,4,N
184,费尽心机,4,G
185,分寸之末,3,O
186,分斤掰两,1,B
187,分秒必争,2,I
188,分文不取,1,N
189,分香卖履,1,G
190,焚琴煮鹤,1,O
191,粉白黛黑,3,B
192,丰亨豫大,1,I
193,丰衣足食,2,N
194,风花雪夜,2,G
195,风卷残云,4,O
196,风流倜傥,3,B
197,风流罪过,4,I
198,风情月债,2,N
199,风雨交加,1,G
200,风雨同舟,3,O
201,风中之烛,4,B
202,锋芒所向,3,I
203,逢人说项,1,N
204,夫唱妇随,3,G
205,伏低做小,4,O
206,伏地圣人,1,B
207,凫趋雀跃,4,I
208,扶危济困,1,N
209,服低做小,2,G
210,福无双至,2,O
211,俯仰由人,2,B
212,负荆请罪,1,I
213,腹背之毛,1,N
214,覆车之鉴,4,G
215,盖世无双,1,O
216,甘棠遗爱,4,B
217,肝肠寸断,3,I
218,竿头直上,3,N
219,感慨万千,3,G
220,干城之将,4,O
221,干卿底事,3,B
222,高朋满座,1,I
223,高义薄云,1,N
224,膏唇试舌,4,G
225,告朔饩羊,2,O
226,格格不入,4,B
227,隔年皇历,1,I
228,隔世之感,4,N
229,更仆难数,1,G
230,弓折刀尽,3,O
231,公诸同好,1,B
232,公子王孙,2,I
233,功成不居,1,N
234,功德无量,4,G
235,功德圆满,3,O
236,攻苦食淡,2,B
237,攻其无备,4,I
238,狗头军师,3,N
239,狗血喷头,4,G
240,狗眼看人,2,O
241,狗仗人势,3,B
242,沽名钓誉,2,I
243,孤独矜寡,2,N
244,古调单弹,4,G
245,故入人罪,4,O
246,故作高深,4,B
247,顾盼自雄,3,I
248,顾全大局,4,N
249,瓜剖豆分,2,G
250,瓜熟蒂落,4,O
251,挂一漏万,1,B
252,关门大吉,3,I
253,观眉说眼,1,N
254,光前绝后,2,G
255,光前裕后,2,O
256,光阴似箭,4,B
257,广土众民,2,I
258,归马放牛,4,N
259,归真反璞,3,G
260,鬼使神差,4,O
261,贵而贱目,3,B
262,国色天香,4,I
263,国士无双,3,N
264,过街老鼠,1,G
265,过目不忘,2,O
266,海枯石烂,3,B
267,海阔天空,2,I
268,海水群飞,1,N
269,海外奇谈,3,G
270,寒木春华,2,O
271,悍然不顾,4,B
272,行不胜衣,4,I
273,行动坐卧,4,N
274,行若无事,2,G
275,好高骛远,1,O
276,好肉剜疮,2,B
277,好为人师,3,I
278,喝西北风,1,N
279,和而不唱,3,G
280,和而不同,3,O
281,和盘托出,3,B
282,河落海干,1,I
283,河山带砺,3,N
284,鹤立鸡群,3,G
285,黑白分明,4,O
286,黑灯瞎火,2,B
287,黑更半夜,1,I
288,恨之入骨,2,N
289,后发制人,1,G
290,后顾之忧,4,O
291,后患无穷,2,B
292,后继无人,3,I
293,后来居上,4,N
294,后生可畏,3,G
295,呼风唤雨,4,O
296,虎背熊腰,4,B
297,虎狼之势,1,I
298,户枢不蠹,3,N
299,花好月圆,3,G
300,花说柳说,1,O
301,花言巧语,3,B
302,花颜月貌,2,I
303,花样翻新,1,N
304,花遮柳隐,2,G
305,华而不实,1,O
306,化零为整,1,B
307,化为乌有,2,I
308,画虎类狗,1,N
309,画中有诗,2,G
310,怀璧其罪,4,O
311,患难与共,2,B
312,患难之交,1,I
313,皇天后土,4,N
314,黄道吉日,3,G
315,黄袍加身,3,O
316,黄雀伺蝉,2,B
317,灰飞烟灭,3,I
318,灰头土面,2,N
319,挥洒自如,4,G
320,回天之力,2,O
321,回味无穷,2,B
322,讳莫如深,4,I
323,惠而不费,3,N
324,昏天黑地,4,G
325,魂不附体,1,O
326,火光烛天,2,B
327,火海刀山,4,I
328,火伞高张,3,N
329,火上浇油,1,G
330,火上弄冰,3,O
331,火烧火燎,3,B
332,祸从天降,2,I
333,祸福相依,3,N
334,祸国殃民,3,G
335,机杼一家,2,O
336,鸡口牛后,3,B
337,鸡犬不宁,4,I
338,吉祥止止,3,N
339,极天际地,2,G
340,急流勇退,4,O
341,疾风迅雷,2,B
342,疾足先得,2,I
343,集苑集枯,1,N
344,戟指怒目,2,G
345,计无所出,3,O
346,济困扶危,2,B
347,继往开来,3,I
348,寄人篱下,2,N
349,骥子龙文,3,G
350,加人一等,1,O
351,家常便饭,2,B
352,价增一顾,4,I
353,价值连城,4,N
354,嫁祸于人,1,G
355,艰苦卓绝,2,O
356,见多识广,2,B
357,见猎心喜,3,I
358,见仁见智,2,N
359,见兔放鹰,4,G
360,见兔顾犬,3,O
361,见笑大方,3,B
362,剑拔弩张,2,I
363,剑戟森森,1,N
364,鉴往知来,2,G
365,将伯之呼,2,O
366,将伯之助,2,B
367,将计就计,4,I
368,将信将疑,1,N
369,匠心独运,2,G
370,交淡若水,1,O
371,交浅言深,3,B
372,交头接耳,2,I
373,脚踏实地,3,N
374,叫苦连天,2,G
375,教学相长,3,O
376,教一识百,3,B
377,接二连三,3,I
378,接三连四,1,N
379,街头巷尾,4,G
380,节衣缩食,2,O
381,劫富济贫,3,B
382,洁身自好,3,I
383,结党营私,4,N
384,结驷连骑,3,G
385,竭泽而渔,2,O
386,解衣推食,2,B
387,今愁古恨,3,I
388,金城汤池,2,N
389,金刚怒目,1,G
390,金舌蔽口,3,O
391,金屋藏娇,1,B
392,金枝玉叶,1,I
393,锦心绣口,4,N
394,锦绣前程,1,G
395,谨毛失貌,4,O
396,尽力而为,2,B
397,尽人皆知,1,I
398,尽态极妍,3,N
399,尽忠报国,2,G
400,进退两难,3,O
401,进退失据,2,B
402,经久不息,3,I
403,经年累月,1,N
404,经纬万端,2,G
405,惊弓之鸟,2,O
406,惊惶失措,3,B
407,惊涛骇浪,4,I
408,惊心悼胆,4,N
409,井井有条,2,G
410,井蛙之见,1,O
411,径情直行,1,B
412,镜花水月,1,I
413,九九归一,4,N
414,久悬不决,1,G
415,酒入舌出,3,O
416,旧地重游,2,B
417,旧调重弹,4,I
418,咎由自取,2,N
419,居官守法,4,G
420,举一反三,2,O
421,拒谏饰非,4,B
422,据理力争,2,I
423,据为己有,3,N
424,聚蚊成雷,1,G
425,卷土重来,2,O
426,决一雌雄,1,B
427,决一死战,4,I
428,绝少分甘,3,N
429,绝无仅有,2,G
430,开诚布公,4,O
431,开路先锋,1,B
432,开山祖师,1,I
433,开宗明义,3,N
434,科班出身,3,G
435,可心如意,3,O
436,空谷传声,3,B
437,空前绝后,4,I
438,空室清野,4,N
439,空穴来风,2,G
440,孔席墨突,2,O
441,口沸目赤,4,B
442,口讲指画,3,I
443,口蜜腹剑,4,N
444,哭天抹泪,1,G
445,苦大仇深,4,O
446,苦中作乐,4,B
447,快步流星,1,I
448,困兽犹斗,3,N
449,困知勉行,1,G
450,来日大难,1,O
451,来者不拒,3,B
452,来者不善,4,I
453,来者可追,1,N
454,蓝田生玉,4,G
455,滥用职权,3,O
456,狼心狗肺,3,B
457,浪子回头,1,I
458,劳师动众,2,N
459,牢不可破,3,G
460,老气横秋,3,O
461,老羞成怒,2,B
462,乐极生悲,1,I
463,雷厉风行,1,N
464,泪干肠断,2,G
465,累瓦结绳,4,O
466,冷暖自知,1,B
467,离群索居,2,I
468,离心离德,2,N
469,礼贤下士,3,G
470,里出外进,4,O
471,理屈词穷,1,B
472,力不从心,3,I
473,力不胜任,4,N
474,力透纸背,4,G
475,历历可数,4,O
476,厉兵秣马,3,B
477,立此存照,1,I
478,利令智昏,2,N
479,利欲熏心,2,G
480,例行公事,3,O
481,例直禁简,4,B
482,砺山带河,2,I
483,怜香惜玉,2,N
484,良工心苦,4,G
485,量才录用,2,O
486,聊以自慰,1,B
487,燎原烈火,4,I
488,料事如神,3,N
489,裂土分茅,3,G
490,麟趾呈祥,2,O
491,灵丹圣药,1,B
492,灵机一动,4,I
493,零打碎敲,3,N
494,零敲碎打,1,G
495,流离转徙,2,O
496,流星赶月,3,B
497,六尺之孤,4,I
498,六马仰秣,2,N
499,龙飞凤舞,4,G
500,龙马精神,4,O
501,龙蛇飞动,3,B
502,龙争虎斗,2,I
503,路不拾遗,2,N
504,路柳墙花,4,G
505,鸾翔凤集,4,O
506,卵与石斗,2,B
507,乱琼碎玉,4,I
508,乱头粗服,3,N
509,落井下石,4,G
510,落落大方,3,O
511,驴鸣犬吠,1,B
512,略见一斑,3,I
513,麻木不仁,1,N
514,马革裹尸,4,G
515,马鹿异形,3,O
516,马瘦毛长,3,B
517,马仰人翻,4,I
518,麦穗两歧,2,N
519,脉脉含情,1,G
520,满腹狐疑,3,O
521,满面春风,2,B
522,芒刺在背,3,I
523,盲人摸象,1,N
524,毛羽零落,3,G
525,貌合神离,1,O
526,没精打采,4,B
527,眉高眼低,4,I
528,眉目如画,3,N
529,美女簪花,3,G
530,美人迟暮,2,O
531,美意延年,1,B
532,门当户对,2,I
533,门到户说,2,N
534,梦寐以求,3,G
535,靡靡之音,4,O
536,免开尊口,1,B
537,面红耳赤,4,I
538,妙手空空,2,N
539,灭绝人性,2,G
540,民胞物与,3,O
541,民富国强,2,B
542,民脂民膏,3,I
543,名垂后世,1,N
544,名存实亡,4,G
545,明白了当,2,O
546,明镜高悬,1,B
547,明刑不戮,2,I
548,明争暗斗,4,N
549,抹月秕风,1,G
550,末学肤受,1,O
551,秣马厉兵,2,B
552,墨子泣丝,4,I
553,木本水源,2,N
554,木人石心,1,G
555,目不识丁,3,O
556,目不暇接,3,B
557,目瞪口呆,2,I
558,目光如豆,2,N
559,目光如鼠,2,G
560,目空一切,3,O
561,目送手挥,2,B
562,目无全牛,3,I
563,目无余子,3,N
564,暮云春树,4,G
565,难分难解,4,O
566,难言之隐,3,B
567,难以为继,2,I
568,难以置信,3,N
569,囊空如洗,1,G
570,恼羞成怒,4,O
571,脑满肠肥,1,B
572,能工巧匠,1,I
573,年富力强,4,N
574,年高望重,1,G
575,念念不忘,1,O
576,鸟语花香,1,B
577,牛刀割鸡,3,I
578,牛鼎烹鸡,1,N
579,奴颜婢膝,4,G
580,怒发冲冠,1,O
581,怒目而视,1,B
582,诺诺连声,1,I
583,呕心沥血,2,N
584,盘马弯弓,1,G
585,炮凤烹龙,2,O
586,蓬户瓮牖,3,B
587,皮里春秋,3,I
588,皮里阳秋,4,N
589,皮相之见,4,G
590,平白无故,1,O
591,破颜微笑,1,B
592,璞玉浑金,2,I
593,妻儿老小,3,N
594,奇珍异宝,1,G
595,骑驴觅驴,1,O
596,起死回生,3,B
597,气冲牛斗,1,I
598,气味相投,4,N
599,气象万千,3,G
600,气焰熏天,3,O
601,气涌如山,1,B
602,弃瑕录用,4,I
603,泣下如雨,1,N
604,器宇轩昂,4,G
605,前车之鉴,3,O
606,前所未闻,1,B
607,前挽后推,4,I
608,前因后果,1,N
609,钱可通神,2,G
610,枪林弹雨,1,O
611,强聒不舍,1,B
612,强人所难,1,I
613,强作解人,3,N
614,敲冰求火,4,G
615,乔龙画虎,3,O
616,巧不可接,2,B
617,巧取豪夺,4,I
618,亲密无间,4,N
619,青黄不接,1,G
620,轻而易举,1,O
621,清尘浊水,3,B
622,清净无为,3,I
623,清汤寡水,2,N
624,清心寡欲,2,G
625,清夜扪心,3,O
626,情急智生,1,B
627,情见势屈,2,I
628,情同骨肉,1,N
629,情至意尽,3,G
630,穷极无聊,1,O
631,穷奢极欲,2,B
632,秋风过耳,1,I
633,秋色平分,4,N
634,秋水伊人,4,G
635,求全之毁,1,O
636,求神问卜,2,B
637,求同存异,1,I
638,屈指可数,1,N
639,曲高和寡,3,G
640,曲终奏雅,2,O
641,取巧图便,3,B
642,去粗取精,3,I
643,去伪存真,3,N
644,权衡轻重,2,G
645,权宜之计,1,O
646,全军覆灭,3,B
647,全力以赴,1,I
648,全受全归,1,N
649,全无心肝,3,G
650,犬马之劳,3,O
651,燃眉之急,2,B
652,热火朝天,4,I
653,人存政举,4,N
654,人多势众,1,G
655,人尽其才,2,O
656,人面兽心,2,B
657,人命关天,2,I
658,人情冷暖,1,N
659,人生如寄,1,G
660,人寿年丰,3,O
661,人亡物在,3,B
662,人微权轻,2,I
663,人微言轻,4,N
664,人心不古,1,G
665,人心归向,3,O
666,人心所向,2,B
667,人言可畏,2,I
668,人一己百,4,N
669,人云亦云,3,G
670,人众胜天,4,O
671,仁浆义粟,1,B
672,刃迎缕解,4,I
673,任人唯亲,3,N
674,任重道远,1,G
675,日暮途穷,4,O
676,日升月恒,3,B
677,日下无双,1,I
678,日以继夜,2,N
679,容光焕发,3,G
680,柔茹刚吐,1,O
681,肉薄骨并,4,B
682,肉跳心惊,4,I
683,肉眼惠眉,1,N
684,如日中天,3,G
685,如应斯响,1,O
686,如左右手,1,B
687,入木三分,3,I
688,软红香土,2,N
689,锐不可当,2,G
690,若即若离,4,O
691,若明若暗,1,B
692,三命而俯,3,I
693,三生有幸,2,N
694,三牲五鼎,2,G
695,散兵游勇,2,O
696,色若死灰,3,B
697,色色俱全,4,I
698,色授魂与,4,N
699,沙里淘金,3,G
700,山崩钟应,4,O
701,山栖谷隐,2,B
702,扇枕温被,1,I
703,善贾而沽,3,N
704,善善恶恶,1,G
705,伤弓之鸟,3,O
706,伤心惨目,1,B
707,赏罚分明,1,I
708,赏心悦目,3,N
709,赏一劝百,3,G
710,上好下甚,4,O
711,上援下推,2,B
712,少不经事,2,I
713,舍己从人,2,N
714,舍己救人,3,G
715,舍己为人,1,O
716,设身处地,2,B
717,身不由主,1,I
718,身强力壮,1,N
719,身体力行,2,G
720,身外之物,3,O
721,身心交病,2,B
722,深藏若虚,4,I
723,深恶痛绝,1,N
724,深入人心,1,G
725,神差鬼使,3,O
726,神出鬼没,4,B
727,神魂颠倒,2,I
728,神通广大,1,N
729,甚嚣尘上,1,G
730,生不逢时,1,O
731,生栋覆屋,3,B
732,生关死劫,4,I
733,生拉硬扯,2,N
734,生老病死,1,G
735,生死存亡,2,O
736,生死相依,1,B
737,声嘶力竭,4,I
738,声威大震,3,N
739,声应气求,4,G
740,声振林木,1,O
741,声罪致讨,1,B
742,绳锯木断,2,I
743,胜任愉快,1,N
744,失惊打怪,3,G
745,失张失智,1,O
746,师出有名,4,B
747,师老兵破,4,I
748,十围五攻,3,N
749,石沉大海,3,G
750,时和年丰,1,O
751,识途老马,3,B
752,识文断字,2,I
753,实逼处此,4,N
754,实获我心,2,G
755,实事求是,3,O
756,实与有力,3,B
757,食不果腹,3,I
758,食而不化,1,N
759,食日万钱,1,G
760,食言而肥,2,O
761,使羊将狼,4,B
762,始终如一,1,I
763,士饱马腾,4,N
764,世风日下,1,G
765,世外桃源,4,O
766,市井之徒,1,B
767,势不两立,4,I
768,势成骑虎,2,N
769,势倾天下,2,G
770,事必躬亲,2,O
771,事不师古,2,B
772,事出有因,2,I
773,事以密成,3,N
774,事与愿违,1,G
775,事预则立,2,O
776,视而不见,3,B
777,视同路人,2,I
778,誓死不二,4,N
779,手不释卷,2,G
780,手到病除,3,O
781,首屈一指,2,B
782,首善之区,2,I
783,蜀犬吠日,3,N
784,鼠腹鸡肠,3,G
785,鼠目寸光,1,O
786,鼠窃狗盗,4,B
787,鼠窃狗偷,3,I
788,数黑论黄,4,N
789,双管齐下,3,G
790,霜露之病,1,O
791,爽然若失,4,B
792,水火无情,3,I
793,水尽鹅飞,1,N
794,水陆杂陈,4,G
795,水米无交,3,O
796,水乳交融,3,B
797,水泄不通,1,I
798,水涨船高,4,N
799,说黑道白,2,G
800,说长道短,3,O
801,丝恩发怨,2,B
802,私心杂念,4,I
803,思潮起伏,3,N
804,死不悔改,1,G
805,死不瞑目,3,O
806,死灰复燃,4,B
807,死气沉沉,4,I
808,四面楚歌,2,N
809,四平八稳,4,G
810,俟河之清,1,O
811,素丝羔羊,2,B
812,速战速决,1,I
813,粟红贯朽,1,N
814,随才器使,3,G
815,随俗浮沉,4,O
816,孙康映雪,4,B
817,贪污腐化,3,I
818,谈笑封侯,2,N
819,谈笑自若,2,G
820,饕餮之徒,3,O
821,腾蛟起凤,3,B
822,梯山航海,4,I
823,体无完肤,1,N
824,天保九如,2,G
825,天翻地覆,2,O
826,天高地厚,1,B
827,天高听卑,4,I
828,天罗地网,2,N
829,天怒人怨,4,G
830,天下太平,3,O
831,天悬地隔,3,B
832,天渊之别,2,I
833,天灾人祸,4,N
834,天长日久,3,G
835,天真烂漫,2,O
836,田月桑时,1,B
837,条三窝四,3,I
838,调嘴学舌,4,N
839,听而不闻,3,G
840,通今博古,1,O
841,通力合作,4,B
842,通权达变,2,I
843,通宵达旦,3,N
844,同工异曲,2,G
845,童牛角马,2,O
846,痛心疾首,2,B
847,偷工减料,4,I
848,头没杯案,2,N
849,头童齿豁,3,G
850,投畀豺虎,3,O
851,投机取巧,1,B
852,突然袭击,1,I
853,图穷匕见,1,N
854,徒劳无功,2,G
855,徒托空言,4,O
856,土阶茅屋,2,B
857,土龙刍狗,1,I
858,吐刚茹柔,2,N
859,兔丝燕麦,2,G
860,推己及人,2,O
861,退如山移,4,B
862,唾手可得,1,I
863,瓦釜雷鸣,4,N
864,外合里差,3,G
865,外强中干,3,O
866,外圆内方,3,B
867,完事大吉,2,I
868,万古长青,4,N
869,万象森罗,3,G
870,亡魂丧胆,1,O
871,网开三面,1,B
872,网开一面,3,I
873,往返徒劳,1,N
874,忘其所以,1,G
875,望子成龙,2,O
876,危如累卵,4,B
877,危言危行,4,I
878,为富不仁,2,N
879,为渊驱鱼,1,G
880,违心之论,1,O
881,尾大不掉,4,B
882,尾生之信,3,I
883,委曲求全,1,N
884,畏缩不前,2,G
885,蔚然成风,1,O
886,慰情胜无,4,B
887,文不加点,4,I
888,文质彬彬,1,N
889,闻风丧胆,3,G
890,闻过则喜,2,O
891,闻鸡起舞,1,B
892,闻一知十,3,I
893,稳扎稳打,3,N
894,乌焉成马,4,G
895,污泥浊水,3,O
896,屋如七星,1,B
897,无拳无勇,1,I
898,物腐虫生,1,N
899,物是人非,1,G
900,雾里看花,2,O
901,息事宁人,3,B
902,惜墨如金,3,I
903,膝痒搔背,4,N
904,习焉不察,3,G
905,席地而坐,1,O
906,喜从天降,2,B
907,喜怒哀乐,3,I
908,细枝末节,1,N
909,瑕瑜互见,1,G
910,下不为例,2,O
911,下里巴人,1,B
912,下马看花,3,I
913,先意承志,4,N
914,纤芥之疾,1,G
915,鲜车怒马,4,O
916,闲云野鹤,1,B
917,弦外之音,3,I
918,相机而动,2,N
919,相惊伯有,2,G
920,香火因缘,4,O
921,祥麟威凤,3,B
922,响彻云霄,4,I
923,想入非非,2,N
924,项背相望,3,G
925,象箸玉杯,2,O
926,小本经营,4,B
927,小廉曲谨,2,I
928,笑里藏刀,3,N
929,谢天谢地,2,G
930,心安理得,1,O
931,心到神知,1,B
932,心高气傲,1,I
933,心灰意冷,1,N
934,心急如焚,2,G
935,心口如一,4,O
936,心乱如麻,2,B
937,心平气和,2,I
938,心如死灰,1,N
939,心手相应,4,G
940,心术不正,1,O
941,心心念念,3,B
942,心心相印,2,I
943,心织笔耕,3,N
944,信及豚鱼,2,G
945,信赏必罚,3,O
946,星旗电戟,3,B
947,星移斗转,1,I
948,形单影只,1,N
949,形枉影曲,2,G
950,幸灾乐祸,1,O
951,宿弊一清,3,B
952,秀才人情,4,I
953,秀而不实,3,N
954,绣花枕头,2,G
955,虚位以待,4,O
956,虚有其表,2,B
957,虚舟飘瓦,4,I
958,学而不厌,1,N
959,雪窑冰天,1,G
960,血气方刚,3,O
961,鸦雀无闻,2,B
962,言必有中,4,I
963,言行不一,3,N
964,言之凿凿,2,G
965,言重九鼎,1,O
966,妍姿艳质,3,B
967,颜面扫地,2,I
968,眼馋肚饱,1,N
969,眼高手低,3,G
970,偃武修文,4,O
971,厌难折冲,2,B
972,殃及池鱼,2,I
973,扬眉吐气,2,N
974,扬汤止沸,3,G
975,扬长而去,4,O
976,羊肠小道,2,B
977,羊质虎皮,1,I
978,仰人鼻息,1,N
979,仰首伸眉,4,G
980,养精畜锐,2,O
981,养痈成患,3,B
982,腰缠万贯,1,I
983,药笼中物,2,N
984,药石之言,4,G
985,要价还价,4,O
986,夜不闭户,1,B
987,夜郎自大,1,I
988,夜以继日,2,N
989,夜雨对床,3,G
990,夜长梦多,1,O
991,一笔抹杀,2,B
992,一举两得,4,I
993,一蹶不振,2,N
994,一丝不挂,2,G
995,一塌糊涂,1,O
996,一往无前,4,B
997,一五一十,3,I
998,一星半点,3,N
999,衣架饭囊,3,G
1000,依然故我,3,O
1001,依依不舍,4,B
1002,仪静体闲,1,I
1003,怡然自得,1,N
1004,移山倒海,2,G
1005,移天易日,3,O
1006,移樽就教,1,B
1007,遗臭万年,1,I
1008,遗大投艰,2,N
1009,疑信参半,1,G
1010,以指挠沸,3,O
1011,义薄云天,4,B
1012,义无反顾,4,I
1013,异端邪说,4,N
1014,异名同实,1,G
1015,意马心猿,3,O
1016,意气风发,4,B
1017,意气用事,1,I
1018,意在笔先,2,N
1019,意在言外,3,G
1020,因循守旧,2,O
1021,音容笑貌,4,B
1022,淫词艳曲,1,I
1023,隐恶扬善,4,N
1024,印累绶若,2,G
1025,迎头赶上,4,O
1026,盈盈一水,2,B
1027,应付裕如,3,I
1028,应付自如,1,N
1029,应运而生,4,G
1030,勇往直前,2,O
1031,用兵如神,4,B
1032,用舍行藏,3,I
1033,忧患余生,1,N
1034,油腔滑调,2,G
1035,游刃有余,3,O
1036,游山玩水,1,B
1037,有何面目,1,I
1038,有名无实,3,N
1039,有目共睹,3,G
1040,有求必应,1,O
1041,有一得一,2,B
1042,有枝添叶,3,I
1043,牖中窥日,1,N
1044,余波未平,4,G
1045,鱼贯而入,4,O
1046,鱼烂而亡,3,B
1047,鱼龙混杂,1,I
1048,鱼游釜中,2,N
1049,愚昧无知,1,G
1050,与民更始,3,O
1051,与世偃仰,3,B
1052,予取予求,1,I
1053,羽毛未丰,2,N
1054,雨过天青,1,G
1055,雨沐风餐,4,O
1056,雨丝风片,3,B
1057,玉洁冰清,4,I
1058,玉碎珠沉,1,N
1059,玉液琼浆,4,G
1060,玉卮无当,3,O
1061,狱货非宝,3,B
1062,原原本本,2,I
1063,圆颅方趾,3,N
1064,源源不断,3,G
1065,源源不绝,3,O
1066,远交近攻,4,B
1067,怨天尤人,3,I
1068,约定俗成,3,N
1069,月白风清,1,G
1070,月旦春秋,1,O
1071,月露风云,4,B
1072,月下花前,1,I
1073,月下老人,3,N
1074,月盈则食,2,G
1075,月晕而风,1,O
1076,跃然纸上,3,B
1077,云过天空,2,I
1078,云泥之别,2,N
1079,云消雨散,3,G
1080,云兴霞蔚,4,O
1081,云蒸霞蔚,2,B
1082,杂七杂八,4,I
1083,在家出家,4,N
1084,在所难免,4,G
1085,凿壁偷光,2,O
1086,凿凿有据,1,B
1087,皂白不分,4,I
1088,造化小儿,3,N
1089,造谣惑众,4,G
1090,择善而从,3,O
1091,啧有烦言,3,B
1092,债多不愁,4,I
1093,瞻前顾后,3,N
1094,张冠李戴,3,G
1095,张三李四,1,O
1096,彰善瘅恶,3,B
1097,长此以往,1,I
1098,长目飞耳,4,N
1099,长治久安,2,G
1100,掌上明珠,1,O
1101,招风惹草,2,B
1102,招摇过市,3,I
1103,照本宣科,2,N
1104,折槁振落,3,G
1105,辙乱旗靡,2,O
1106,着手成春,3,B
1107,针锋相对,4,I
1108,真脏实犯,2,N
